 Diffraction intensities for potential:-1x1pristine10001.in
# Diffraction Probabilities at:
# ------------------------------------
 # Beam energy           ei = 0.6500E+02
#     -1    -3       8.1350672594E-004
#     -1    -2       3.7033604459E-002
#     -1    -1       7.7567686225E-002
#     -1     0       7.9461167126E-003
#     -1     1       8.2630605448E-003
#     -1     2       7.0630012921E-002
#     -1     3       5.3573541703E-002
#     -1     4       2.6876121705E-003
#      0    -3       1.2029497969E-003
#      0    -2       1.3208485596E-002
#      0    -1       4.6409796171E-002
#      0     0       3.0743032289E-002
#      0     1       5.2224239538E-002
#      0     2       3.5230137336E-002
#      0     3       2.6293635318E-003
#      1    -3       1.9755995307E-002
#      1    -2       8.1432185078E-002
#      1    -1       9.4714787497E-004
#      1     0       1.1414937202E-002
#      1     1       4.3935119724E-002
# Diffraction Probabilities at:
# ------------------------------------
 # Beam energy           ei = 0.6500E+02
 # Polar angle        theta =   0.450000E+02  0.600000E+01
#     -9     3       2.3851866517E-007
#     -9     4       3.8108978655E-007
#     -9     5       5.1972644734E-008
#     -9     6       4.9144819126E-008
#     -8     1       3.5419082963E-007
#     -8     2       3.5662211951E-006
#     -8     3       9.8858832244E-006
#     -8     4       6.4353056247E-006
#     -8     5       1.1723100658E-006
#     -8     6       3.6490245473E-007
#     -7     0       2.8556011111E-006
#     -7     1       2.9782556448E-005
#     -7     2       9.8840991688E-005
#     -7     3       1.3537636391E-004
#     -7     4       3.2739789844E-005
#     -7     5       1.8206942980E-005
#     -7     6       1.1045684642E-006
#     -7     7       5.3267889314E-007
#     -6    -1       1.0108942305E-005
#     -6     0       1.2435774821E-004
#     -6     1       5.9257070928E-004
#     -6     2       8.9792529380E-004
#     -6     3       5.8853495252E-004
#     -6     4       2.2734697864E-004
#     -6     5       1.1695818540E-004
#     -6     6       2.9082668980E-006
#     -6     7       1.4881583756E-006
#     -5    -2       8.1976089000E-006
#     -5    -1       3.2222788516E-004
#     -5     0       1.8542920970E-003
#     -5     1       4.0484155856E-003
#     -5     2       3.5961331480E-003
#     -5     3       1.4190181127E-003
#     -5     4       1.6276230671E-003
#     -5     5       2.5626419495E-004
#     -5     6       2.5412591164E-005
#     -4    -3       1.0513946844E-005
#     -4    -2       4.0500825607E-004
#     -4    -1       3.0888962042E-003
#     -4     0       1.1982834652E-002
#     -4     1       1.2331302009E-002
#     -4     2       6.8901397447E-003
#     -4     3       6.9779188115E-003
#     -4     4       3.9823153791E-003
#     -4     5       6.2506211839E-004
#     -4     6       4.9428400406E-005
#     -3    -3       2.8248485987E-004
#     -3    -2       3.8425592536E-003
#     -3    -1       1.4779800380E-002
#     -3     0       3.6438691222E-002
#     -3     1       1.7733010063E-002
#     -3     2       1.0269962602E-002
#     -3     3       2.5276759459E-002
#     -3     4       3.6377468901E-003
#     -3     5       2.1256075153E-003
#     -2    -3       1.0897535054E-003
#     -2    -2       1.8014726076E-002
#     -2    -1       4.1591429205E-002
#     -2     0       3.9421339185E-002
#     -2     1       8.9039683675E-003
#     -2     2       4.7295078671E-002
#     -2     3       2.0945848741E-002
#     -2     4       1.5850021740E-002
#     -2     5       5.3643468160E-004
#     -1    -3       1.8172353865E-003
#     -1    -2       3.0517259329E-002
#     -1    -1       5.9505846279E-002
#     -1     0       3.0770453456E-003
#     -1     1       4.6472608016E-003
#     -1     2       7.1047248895E-002
#     -1     3       4.8696758508E-002
#     -1     4       3.2281807410E-003
#      0    -3       2.1231465761E-003
#      0    -2       1.6095567514E-002
#      0    -1       1.3176269653E-002
#      0     0       6.3211102451E-002
#      0     1       4.7357149577E-002
#      0     2       2.6792399888E-002
#      0     3       3.6812134812E-003
#      1    -3       1.0583107379E-002
#      1    -2       7.4784986889E-002
#      1    -1       4.4098310596E-002
