 Diffraction intensities for potential:pot10001.in                             
#     -2   -11       5.0291112716E-004
#     -2   -10       8.3589381712E-005
#     -2    -9       3.3795204960E-004
#     -2    -8       5.7473713848E-005
#     -2    -7       1.8376670157E-003
#     -2    -6       3.9629111309E-003
#     -2    -5       5.0746878733E-003
#     -2    -4       1.6673863838E-003
#     -2    -3       8.9328950730E-004
#     -2    -2       6.2376029253E-003
#     -2    -1       1.8241711203E-003
#     -2     0       8.1979217228E-003
#     -2     1       1.0666275854E-003
#     -2     2       1.2926233791E-003
#     -2     3       1.2863414636E-003
#     -2     4       9.3508856097E-003
#     -2     5       9.6815430890E-003
#     -2     6       4.8215012782E-003
#     -1   -11       2.1989072460E-004
#     -1   -10       1.6604496432E-004
#     -1    -9       9.1628421781E-005
#     -1    -8       3.9971997097E-004
#     -1    -7       1.0568145742E-003
#     -1    -6       3.9909389191E-004
#     -1    -5       2.0963446384E-003
#     -1    -4       3.7674651493E-003
#     -1    -3       1.0652270762E-003
#     -1    -2       3.9572840704E-003
#     -1    -1       1.0665676761E-003
#     -1     0       1.5147761997E-002
#     -1     1       7.2168683460E-003
#     -1     2       2.6866943684E-003
#     -1     3       1.0391434385E-003
#     -1     4       2.2416760790E-002
#     -1     5       8.3831379413E-003
#      0   -11       1.1577897828E-004
#      0   -10       3.7417327313E-004
#      0    -9       4.7635584039E-004
#      0    -8       3.3007250614E-003
#      0    -7       1.5854736291E-003
#      0    -6       9.7009144131E-003
#      0    -5       3.7268676683E-003
