 Diffraction intensities for potential:ensembletest210006.in                   
#    -23   -10       4.1467895904E-006
#    -23    -9       1.7681101118E-005
#    -23    -8       1.8541340071E-005
#    -23    -7       2.9983666473E-005
#    -23    -6       1.1302701455E-005
#    -23    -5       5.0935720283E-006
#    -23    -4       3.9663844594E-005
#    -23    -3       4.2317874096E-005
#    -23    -2       1.2614911463E-005
#    -23    -1       3.5381695146E-006
#    -23     0       4.7215596705E-006
#    -23     1       6.8718436981E-005
#    -23     2       1.0613233087E-004
#    -23     3       5.3878967609E-005
#    -23     4       3.5659591089E-006
#    -23     5       2.1611951767E-006
#    -23     6       2.0041874379E-005
#    -23     7       5.6171943274E-005
#    -23     8       7.0577708700E-005
#    -23     9       1.4535983275E-005
#    -23    10       1.8266903750E-005
#    -23    11       1.8751908934E-004
#    -23    12       3.0415065702E-004
#    -23    13       1.9464380125E-004
#    -23    14       1.8859125617E-005
