 Diffraction intensities for potential:smallensembletest10002.in               
#    -11   -18       2.2870411966E-004
#    -11   -17       1.6465944291E-006
#    -11   -16       1.4391243182E-004
#    -11   -15       1.3898771989E-004
#    -11   -14       1.2128332691E-008
#    -11   -13       1.2036953533E-005
#    -11   -12       1.0176011640E-004
#    -11   -11       4.3588449104E-004
#    -11   -10       2.5869619458E-004
#    -11    -9       5.7332834108E-005
#    -11    -8       6.2881501744E-005
#    -11    -7       4.0121575461E-004
#    -11    -6       2.7934708992E-004
#    -11    -5       4.2389074545E-006
#    -11    -4       1.1140130232E-004
#    -11    -3       6.9377752147E-004
#    -11    -2       9.2599956193E-004
#    -11    -1       5.6535261274E-007
#    -11     0       9.0076172744E-004
#    -11     1       9.1363452714E-004
