 Diffraction intensities for potential:4x4MoS210001.in                         
#    -13    13       9.4838947802E-007
#    -13    14       6.2406989347E-005
#    -13    15       3.6505721590E-005
#    -13    16       1.5580281278E-004
#    -13    17       1.1211090403E-004
#    -13    18       1.7086239431E-004
#    -13    19       1.1741724742E-004
#    -12   -20       1.3405586712E-005
#    -12   -19       5.6274458191E-005
#    -12   -18       9.2188909444E-005
#    -12   -17       8.0246056385E-005
#    -12   -16       1.5722125009E-004
#    -12   -15       4.4387677270E-005
#    -12   -14       3.7596743788E-005
#    -12   -13       1.6399787057E-005
#    -12   -12       8.0944847543E-004
#    -12   -11       2.5692729049E-005
#    -12   -10       6.3748899631E-005
#    -12    -9       7.7277958310E-005
#    -12    -8       5.2180953605E-003
#    -12    -7       3.5571158395E-005
#    -12    -6       6.3756777806E-005
#    -12    -5       6.7104789324E-005
#    -12    -4       1.4967964801E-002
#    -12    -3       8.6930547242E-005
#    -12    -2       2.8568320544E-004
#    -12    -1       5.5401684853E-004
#    -12     0       3.1924120826E-002
#    -12     1       5.4278201909E-004
#    -12     2       3.1430855481E-004
#    -12     3       2.6000656730E-004
#    -12     4       2.6873094885E-002
#    -12     5       1.8000305583E-004
#    -12     6       6.1299690387E-005
#    -12     7       1.4216253002E-005
#    -12     8       1.3995276302E-002
#    -12     9       1.3527322186E-004
#    -12    10       5.7557838126E-005
#    -12    11       3.7888591391E-005
#    -12    12       1.5430527975E-002
#    -12    13       8.4964755845E-005
#    -12    14       1.1751485423E-004
#    -12    15       1.8774621585E-004
#    -12    16       1.7184846060E-003
#    -12    17       1.3941820586E-004
#    -12    18       2.7600066684E-004
#    -11   -20       5.7136138095E-005
#    -11   -19       1.0387685660E-004
#    -11   -18       1.2871077913E-004
#    -11   -17       1.0424376970E-004
#    -11   -16       7.5332865420E-005
#    -11   -15       3.4295010039E-005
#    -11   -14       9.2668961987E-006
#    -11   -13       8.7194561820E-006
#    -11   -12       2.2421980196E-005
#    -11   -11       7.0781351496E-005
#    -11   -10       6.9427339349E-005
#    -11    -9       1.9561193077E-005
#    -11    -8       5.8818079175E-005
#    -11    -7       1.2888879621E-004
#    -11    -6       1.4596811359E-004
#    -11    -5       6.0629059930E-005
#    -11    -4       2.8623304402E-005
#    -11    -3       1.4214096048E-004
#    -11    -2       4.2920579086E-004
#    -11    -1       5.4250823495E-004
#    -11     0       3.1879809038E-004
