 Diffraction intensities for potential:ensembletest10002.in                    
#    -25     7       4.9467120429E-005
#    -25     8       8.4939927902E-005
#    -25     9       1.6473968601E-005
#    -25    10       4.9669218542E-003
#    -25    11       2.9526683366E-005
#    -25    12       2.8098912626E-004
#    -25    13       1.8552288404E-004
#    -25    14       1.0149409215E-004
#    -25    15       3.3843619748E-003
#    -25    16       1.7274220207E-005
#    -25    17       7.0757110651E-005
#    -25    18       5.1059299057E-005
#    -25    19       3.7132393210E-005
#    -25    20       1.3253188170E-003
#    -25    21       5.3362015254E-005
#    -25    22       3.1569206444E-004
#    -25    23       3.0224209151E-004
#    -25    24       1.0189905430E-004
#    -25    25       3.2076800686E-004
#    -25    26       9.9781569255E-005
#    -25    27       1.6651574000E-004
#    -24   -20       1.1812775741E-005
#    -24   -19       4.9578483788E-005
#    -24   -18       4.3844389327E-005
#    -24   -17       8.2567307834E-006
#    -24   -16       1.4184854513E-004
#    -24   -15       3.2892025095E-006
#    -24   -14       7.0383932228E-005
#    -24   -13       6.9145959730E-005
#    -24   -12       1.9089266986E-006
#    -24   -11       4.8187989866E-005
#    -24   -10       4.2337315416E-006
#    -24    -9       1.7481566219E-005
#    -24    -8       2.1164593700E-005
#    -24    -7       4.3023618474E-006
#    -24    -6       2.8080771568E-005
#    -24    -5       1.8902441980E-005
#    -24    -4       3.2424873713E-005
#    -24    -3       6.8399737425E-005
#    -24    -2       4.1563280145E-006
#    -24    -1       1.2480872645E-005
#    -24     0       1.7072981599E-005
#    -24     1       2.8273385960E-005
#    -24     2       2.3119456493E-006
#    -24     3       3.9470378768E-005
#    -24     4       2.6818722187E-005
#    -24     5       1.4412879993E-005
#    -24     6       1.2260444491E-005
#    -24     7       5.6428902662E-006
#    -24     8       2.9366372061E-006
#    -24     9       2.3929668613E-006
#    -24    10       3.1721545514E-006
#    -24    11       5.5598877129E-005
#    -24    12       9.0037745457E-005
#    -24    13       5.8331385454E-005
#    -24    14       1.2657590313E-004
#    -24    15       4.0334805738E-007
#    -24    16       7.5334713625E-005
#    -24    17       2.1164203681E-005
#    -24    18       1.2929895289E-005
#    -24    19       1.0073102878E-004
#    -24    20       1.1192962527E-005
#    -24    21       1.2072894654E-004
#    -24    22       1.2918881804E-004
#    -24    23       5.4140664194E-005
#    -24    24       1.8848854836E-004
#    -24    25       6.7547051673E-005
#    -24    26       1.9173158854E-004
#    -23   -20       4.9578302779E-005
#    -23   -19       4.3375858014E-005
#    -23   -18       2.1517892888E-004
#    -23   -17       1.5194637542E-005
#    -23   -16       2.9852748035E-004
#    -23   -15       1.1698156655E-004
#    -23   -14       1.0374701107E-004
#    -23   -13       2.1374689569E-004
#    -23   -12       3.2619357525E-005
#    -23   -11       9.0306551518E-005
#    -23   -10       8.1427159435E-005
#    -23    -9       1.4505176398E-005
#    -23    -8       9.2316359937E-005
#    -23    -7       3.0791259391E-005
#    -23    -6       1.2325807585E-004
#    -23    -5       1.1237690434E-004
#    -23    -4       1.7791001222E-005
#    -23    -3       8.1639398601E-005
#    -23    -2       2.1034395959E-005
#    -23    -1       6.3103310288E-005
#    -23     0       4.3702934505E-005
#    -23     1       1.6162943717E-004
#    -23     2       2.5767978950E-004
#    -23     3       3.2357375765E-005
#    -23     4       9.5194591273E-005
#    -23     5       3.3867010579E-005
#    -23     6       2.0225904375E-005
#    -23     7       5.0976626304E-005
#    -23     8       7.0291074241E-006
#    -23     9       1.5996319128E-004
#    -23    10       1.0644613702E-004
#    -23    11       1.6476065443E-004
#    -23    12       3.9208993178E-004
#    -23    13       2.7543463040E-005
#    -23    14       3.1513576213E-004
