 Diffraction intensities for potential:gv5x5_30D10002.in                       
#     -7    15       3.4694381687E-004
#     -7    16       1.8794404823E-006
#     -7    17       1.0275804648E-003
#     -7    18       4.8858803234E-004
#     -7    19       7.3327300202E-005
#     -7    20       3.0283743853E-004
#     -7    21       2.5624789600E-004
#     -7    22       2.7535588517E-004
#     -7    23       2.2923935084E-004
#     -7    24       3.2061479774E-004
#     -7    25       3.1649533977E-005
#     -7    26       1.5993700451E-004
#     -7    27       9.5093369794E-006
#     -6   -20       3.0760148595E-004
#     -6   -19       7.8149137553E-005
#     -6   -18       3.0941434782E-004
#     -6   -17       2.1741485929E-004
#     -6   -16       1.1525300951E-004
#     -6   -15       1.4560443729E-004
#     -6   -14       1.3306832766E-004
#     -6   -13       5.7322743046E-005
#     -6   -12       3.3341687216E-004
#     -6   -11       8.1263255940E-006
#     -6   -10       2.9605260183E-004
#     -6    -9       4.7057753275E-004
#     -6    -8       1.3995728110E-003
#     -6    -7       9.7521715013E-005
#     -6    -6       6.4516014640E-004
#     -6    -5       3.7749205911E-004
#     -6    -4       1.1819474914E-004
#     -6    -3       7.6011683951E-004
#     -6    -2       3.9044100637E-004
#     -6    -1       6.7490912755E-005
#     -6     0       1.1657400765E-003
#     -6     1       3.2939310088E-005
#     -6     2       3.5048546037E-004
#     -6     3       1.4934493615E-004
#     -6     4       6.2301630926E-005
#     -6     5       9.1711042990E-005
#     -6     6       9.0386375221E-005
#     -6     7       7.7170422508E-004
#     -6     8       6.3807359620E-004
#     -6     9       2.1595528660E-004
#     -6    10       2.5498110232E-005
#     -6    11       1.7449636388E-004
#     -6    12       2.4868971331E-004
#     -6    13       7.4889915652E-006
#     -6    14       3.4101938353E-004
#     -6    15       5.0490543342E-005
#     -6    16       2.0750146808E-004
#     -6    17       5.7560125372E-004
#     -6    18       2.0025690828E-004
