 Diffraction intensities for potential:3x3unpristine10001.in                   
#      1     0       2.5607355795E-003
#      1     1       1.2947076716E-003
#      1     2       4.2106450609E-003
#      1     3       1.4834399019E-004
#      1     4       2.3914509048E-003
#      1     5       5.8530588452E-003
#      2   -16       1.4166486554E-004
#      2   -15       2.6068019171E-004
#      2   -14       4.7842900049E-004
#      2   -13       9.2484134002E-004
#      2   -12       1.4878254001E-004
#      2   -11       3.4078330915E-004
#      2   -10       1.0156541566E-004
#      2    -9       1.4312782691E-005
#      2    -8       1.3631725424E-004
#      2    -7       2.3638283892E-004
#      2    -6       9.7555876137E-003
#      2    -5       2.5352344447E-003
#      2    -4       9.3217138161E-004
#      2    -3       7.5609606361E-003
#      2    -2       5.9476661327E-003
#      2    -1       6.0282614841E-003
#      2     0       9.6140709887E-004
#      2     1       1.6909708842E-005
#      2     2       3.7029761397E-003
#      2     3       8.0235573876E-003
#      3   -15       6.2201953249E-005
#      3   -14       2.1198465852E-004
#      3   -13       5.1133759975E-004
#      3   -12       2.7656165133E-003
#      3   -11       3.8906956198E-006
#      3   -10       7.6659668962E-004
#      3    -9       1.4255533125E-002
#      3    -8       3.5026636740E-004
#      3    -7       8.3789751147E-004
#      3    -6       2.1234595325E-002
#      3    -5       2.6894550982E-003
#      3    -4       1.9660670311E-003
#      3    -3       1.9390725031E-003
#      3    -2       2.9952597217E-003
#      3    -1       3.4091866503E-003
#      3     0       6.0213575799E-002
#      3     1       1.7754683774E-003
#      3     2       2.9787775377E-005
#      4   -14       1.6967542628E-005
#      4   -13       3.1658747627E-003
#      4   -12       3.9489412821E-003
#      4   -11       5.1242187716E-004
#      4   -10       7.6900176812E-004
#      4    -9       7.3055401673E-003
#      4    -8       1.8138765799E-004
#      4    -7       1.4129097756E-003
#      4    -6       1.8953318909E-003
#      4    -5       1.6852591967E-003
#      4    -4       3.8627009638E-004
#      4    -3       2.3187453379E-003
#      4    -2       3.0189332393E-003
#      4    -1       4.3336655953E-003
#      4     0       6.4351764608E-004
#      5   -13       3.8104936816E-005
#      5   -12       4.5114075475E-004
#      5   -11       1.1278348179E-003
#      5   -10       6.3387203286E-004
#      5    -9       1.5868386131E-003
#      5    -8       7.4532915259E-004
#      5    -7       1.9172949388E-003
#      5    -6       1.7234351796E-002
#      5    -5       2.1655901208E-003
#      5    -4       6.9150503532E-004
#      5    -3       8.8674467501E-003
#      5    -2       1.1267076765E-003
#      6   -11       1.0241055105E-003
#      6   -10       6.7679961361E-004
#      6    -9       4.8743113766E-003
#      6    -8       3.7461235531E-003
#      6    -7       3.2717883515E-003
#      6    -6       8.1161392142E-003
#      6    -5       3.0316185014E-003
